filepath,category,defect_type,split
test/good/000.png,OK,good,train
test/good/001.png,OK,good,train
test/good/002.png,OK,good,train
test/good/003.png,OK,good,train
test/good/004.png,OK,good,test
test/good/005.png,OK,good,train
test/good/006.png,OK,good,val
test/good/007.png,OK,good,val
test/good/008.png,OK,good,train
test/good/009.png,OK,good,train
test/good/010.png,OK,good,train
test/good/011.png,OK,good,val
test/good/012.png,OK,good,train
test/good/013.png,OK,good,train
test/good/014.png,OK,good,train
test/good/015.png,OK,good,train
test/good/016.png,OK,good,train
test/good/017.png,OK,good,train
test/good/018.png,OK,good,train
test/good/019.png,OK,good,train
test/good/020.png,OK,good,train
test/good/021.png,OK,good,val
test/good/022.png,OK,good,test
test/good/023.png,OK,good,train
test/good/024.png,OK,good,train
test/good/025.png,OK,good,train
test/good/026.png,OK,good,val
test/good/027.png,OK,good,train
test/good/028.png,OK,good,test
test/good/029.png,OK,good,train
test/good/030.png,OK,good,train
test/good/031.png,OK,good,train
test/good/032.png,OK,good,train
test/good/033.png,OK,good,train
test/good/034.png,OK,good,train
test/good/035.png,OK,good,train
test/good/036.png,OK,good,train
test/good/037.png,OK,good,test
test/good/038.png,OK,good,train
test/good/039.png,OK,good,train
test/good/040.png,OK,good,train
test/manipulated_front/000.png,NOK,manipulated_front,train
test/manipulated_front/001.png,NOK,manipulated_front,val
test/manipulated_front/002.png,NOK,manipulated_front,train
test/manipulated_front/003.png,NOK,manipulated_front,train
test/manipulated_front/004.png,NOK,manipulated_front,train
test/manipulated_front/005.png,NOK,manipulated_front,train
test/manipulated_front/006.png,NOK,manipulated_front,train
test/manipulated_front/007.png,NOK,manipulated_front,val
test/manipulated_front/008.png,NOK,manipulated_front,test
test/manipulated_front/009.png,NOK,manipulated_front,val
test/manipulated_front/010.png,NOK,manipulated_front,train
test/manipulated_front/011.png,NOK,manipulated_front,train
test/manipulated_front/012.png,NOK,manipulated_front,train
test/manipulated_front/013.png,NOK,manipulated_front,train
test/manipulated_front/014.png,NOK,manipulated_front,train
test/manipulated_front/015.png,NOK,manipulated_front,train
test/manipulated_front/016.png,NOK,manipulated_front,val
test/manipulated_front/017.png,NOK,manipulated_front,train
test/manipulated_front/018.png,NOK,manipulated_front,train
test/manipulated_front/019.png,NOK,manipulated_front,train
test/manipulated_front/020.png,NOK,manipulated_front,train
test/manipulated_front/021.png,NOK,manipulated_front,val
test/manipulated_front/022.png,NOK,manipulated_front,train
test/manipulated_front/023.png,NOK,manipulated_front,train
test/scratch_head/000.png,NOK,scratch_head,train
test/scratch_head/001.png,NOK,scratch_head,train
test/scratch_head/002.png,NOK,scratch_head,val
test/scratch_head/003.png,NOK,scratch_head,train
test/scratch_head/004.png,NOK,scratch_head,train
test/scratch_head/005.png,NOK,scratch_head,train
test/scratch_head/006.png,NOK,scratch_head,test
test/scratch_head/007.png,NOK,scratch_head,train
test/scratch_head/008.png,NOK,scratch_head,test
test/scratch_head/009.png,NOK,scratch_head,train
test/scratch_head/010.png,NOK,scratch_head,val
test/scratch_head/011.png,NOK,scratch_head,train
test/scratch_head/012.png,NOK,scratch_head,train
test/scratch_head/013.png,NOK,scratch_head,train
test/scratch_head/014.png,NOK,scratch_head,test
test/scratch_head/015.png,NOK,scratch_head,train
test/scratch_head/016.png,NOK,scratch_head,train
test/scratch_head/017.png,NOK,scratch_head,train
test/scratch_head/018.png,NOK,scratch_head,train
test/scratch_head/019.png,NOK,scratch_head,train
test/scratch_head/020.png,NOK,scratch_head,train
test/scratch_head/021.png,NOK,scratch_head,train
test/scratch_head/022.png,NOK,scratch_head,test
test/scratch_head/023.png,NOK,scratch_head,test
test/scratch_neck/000.png,NOK,scratch_neck,train
test/scratch_neck/001.png,NOK,scratch_neck,train
test/scratch_neck/002.png,NOK,scratch_neck,train
test/scratch_neck/003.png,NOK,scratch_neck,val
test/scratch_neck/004.png,NOK,scratch_neck,val
test/scratch_neck/005.png,NOK,scratch_neck,train
test/scratch_neck/006.png,NOK,scratch_neck,train
test/scratch_neck/007.png,NOK,scratch_neck,train
test/scratch_neck/008.png,NOK,scratch_neck,train
test/scratch_neck/009.png,NOK,scratch_neck,train
test/scratch_neck/010.png,NOK,scratch_neck,train
test/scratch_neck/011.png,NOK,scratch_neck,val
test/scratch_neck/012.png,NOK,scratch_neck,val
test/scratch_neck/013.png,NOK,scratch_neck,train
test/scratch_neck/014.png,NOK,scratch_neck,val
test/scratch_neck/015.png,NOK,scratch_neck,test
test/scratch_neck/016.png,NOK,scratch_neck,train
test/scratch_neck/017.png,NOK,scratch_neck,val
test/scratch_neck/018.png,NOK,scratch_neck,test
test/scratch_neck/019.png,NOK,scratch_neck,val
test/scratch_neck/020.png,NOK,scratch_neck,train
test/scratch_neck/021.png,NOK,scratch_neck,train
test/scratch_neck/022.png,NOK,scratch_neck,test
test/scratch_neck/023.png,NOK,scratch_neck,train
test/scratch_neck/024.png,NOK,scratch_neck,train
test/thread_side/000.png,NOK,thread_side,train
test/thread_side/001.png,NOK,thread_side,test
test/thread_side/002.png,NOK,thread_side,train
test/thread_side/003.png,NOK,thread_side,test
test/thread_side/004.png,NOK,thread_side,train
test/thread_side/005.png,NOK,thread_side,val
test/thread_side/006.png,NOK,thread_side,test
test/thread_side/007.png,NOK,thread_side,train
test/thread_side/008.png,NOK,thread_side,train
test/thread_side/009.png,NOK,thread_side,test
test/thread_side/010.png,NOK,thread_side,train
test/thread_side/011.png,NOK,thread_side,train
test/thread_side/012.png,NOK,thread_side,train
test/thread_side/013.png,NOK,thread_side,train
test/thread_side/014.png,NOK,thread_side,test
test/thread_side/015.png,NOK,thread_side,train
test/thread_side/016.png,NOK,thread_side,train
test/thread_side/017.png,NOK,thread_side,test
test/thread_side/018.png,NOK,thread_side,train
test/thread_side/019.png,NOK,thread_side,val
test/thread_side/020.png,NOK,thread_side,val
test/thread_side/021.png,NOK,thread_side,train
test/thread_side/022.png,NOK,thread_side,val
test/thread_top/000.png,NOK,thread_top,test
test/thread_top/001.png,NOK,thread_top,train
test/thread_top/002.png,NOK,thread_top,train
test/thread_top/003.png,NOK,thread_top,train
test/thread_top/004.png,NOK,thread_top,train
test/thread_top/005.png,NOK,thread_top,train
test/thread_top/006.png,NOK,thread_top,train
test/thread_top/007.png,NOK,thread_top,train
test/thread_top/008.png,NOK,thread_top,train
test/thread_top/009.png,NOK,thread_top,train
test/thread_top/010.png,NOK,thread_top,train
test/thread_top/011.png,NOK,thread_top,train
test/thread_top/012.png,NOK,thread_top,train
test/thread_top/013.png,NOK,thread_top,train
test/thread_top/014.png,NOK,thread_top,train
